,start_num,stop_reason,FX_best,X_best,Xmin,Xmax,dimensions,error_norm
66,66,max_iterations,-330.0,[6.73942454e-09 5.45807399e-09],-1,1,2,60.0
67,67,max_iterations,-304.6289951801027,[-0.16907733  0.48816601],-1,1,2,85.37100481989728
68,68,max_iterations,-330.0,[3.02248439e-09 8.70355278e-09],-1,1,2,60.0
69,69,max_iterations,-330.0,[ 3.26540589e-09 -8.41423633e-09],-1,1,2,60.0
70,70,max_iterations,-330.0,[ 8.52469329e-09 -3.99468967e-09],-1,1,2,60.0
71,71,max_iterations,-310.6376474389669,[-0.07092317  0.40351277],-1,1,2,79.3623525610331
72,72,max_iterations,-330.0,[ 1.06277563e-08 -6.02749354e-09],-1,1,2,60.0
73,73,max_iterations,-330.0,[3.41468231e-09 4.06043396e-09],-1,1,2,60.0
74,74,max_iterations,-330.0,[-3.09603822e-09 -8.04983793e-09],-1,1,2,60.0
75,75,stagnation_lim,-330.0,[-1.29995308e-09 -7.25661945e-09],-1,1,2,60.0
76,76,max_iterations,-330.0,[-6.32715899e-09  9.68505418e-09],-1,1,2,60.0
77,77,max_iterations,-313.62450489458456,[-0.67790566  0.94222589],-1,1,2,76.37549510541544
78,78,max_iterations,-292.2697828600766,[-0.46746962 -0.38667591],-1,1,2,97.73021713992341
79,79,max_iterations,-299.7324006771302,[-0.73221325  0.41014028],-1,1,2,90.26759932286978
80,80,max_iterations,-330.0,[1.15345828e-08 1.04992938e-09],-1,1,2,60.0
81,81,max_iterations,-330.0,[-8.12684666e-09 -4.08725034e-09],-1,1,2,60.0
82,82,max_iterations,-330.0,[ 3.43312690e-09 -9.91961443e-09],-1,1,2,60.0
83,83,max_iterations,-330.0,[-6.91382452e-09  3.85350769e-09],-1,1,2,60.0
84,84,max_iterations,-330.0,[7.97259505e-10 5.95477929e-09],-1,1,2,60.0
85,85,max_iterations,-330.0,[-4.22104911e-10  5.19426031e-10],-1,1,2,60.0
86,86,stagnation_lim,-330.0,[-2.45509852e-09 -2.07369728e-09],-1,1,2,60.0
87,87,max_iterations,-330.0,[-3.78671058e-09 -4.47799820e-09],-1,1,2,60.0
88,88,max_iterations,-330.0,[ 2.90454066e-09 -3.62035097e-09],-1,1,2,60.0
89,89,max_iterations,-330.0,[-1.02588320e-08  6.01190928e-09],-1,1,2,60.0
90,90,max_iterations,-321.78887705930174,[ 0.9580209  -0.81048229],-1,1,2,68.21112294069826
91,91,max_iterations,-330.0,[-1.03720115e-08 -4.92893544e-09],-1,1,2,60.0
92,92,max_iterations,-330.0,[-2.60277438e-09 -1.17107492e-08],-1,1,2,60.0
93,93,max_iterations,-318.9256538156496,[0.06413775 0.75478394],-1,1,2,71.07434618435042
94,94,max_iterations,-330.0,[4.21523249e-09 1.99590452e-10],-1,1,2,60.0
95,95,max_iterations,-330.0,[ 5.79422460e-09 -1.02385608e-08],-1,1,2,60.0
96,96,max_iterations,-330.0,[-6.79761960e-09 -2.94110642e-09],-1,1,2,60.0
97,97,max_iterations,-330.0,[ 1.63746040e-09 -1.05281567e-08],-1,1,2,60.0
98,98,max_iterations,-330.0,[-3.41832067e-09  3.44939573e-09],-1,1,2,60.0
99,99,max_iterations,-309.79794666921117,[0.00846887 0.484567  ],-1,1,2,80.20205333078883
100,0,stagnation_lim,-329.99999999999596,[-1.14773238e-07 -5.03384425e-08  1.37595503e-08  6.61982216e-08],-1,1,4,60.000000000004036
101,1,stagnation_lim,-329.9999999999995,[-2.23864020e-09  2.97212481e-09  5.03850848e-08 -1.00742734e-08],-1,1,4,60.00000000000051
102,2,stagnation_lim,-329.99999999999113,[ 1.76765707e-07 -5.87792246e-08  4.89319751e-08  8.74230457e-08],-1,1,4,60.00000000000887
103,3,stagnation_lim,-329.999999999994,[ 2.86195499e-08  7.39031131e-08 -4.43343621e-08  1.48698828e-07],-1,1,4,60.000000000006025
104,4,stagnation_lim,-329.99999999998755,[ 7.86876171e-08 -1.60692913e-07  6.40091623e-08 -1.62910401e-07],-1,1,4,60.00000000001245
105,5,stagnation_lim,-329.99999999999756,[-1.71553736e-09  1.06798241e-07 -2.66409052e-08 -9.28282778e-09],-1,1,4,60.000000000002444
106,6,stagnation_lim,-329.99999999999756,[ 2.69535698e-08 -9.93085323e-08  2.12425282e-08 -3.49629696e-08],-1,1,4,60.000000000002444
107,7,stagnation_lim,-329.9999999999994,[ 1.01213493e-09 -1.76687147e-08  4.90692112e-08  2.00449739e-08],-1,1,4,60.000000000000625
108,8,stagnation_lim,-329.9999999999961,[ 5.11949643e-08  1.69573960e-08 -1.29884954e-07 -1.06064188e-08],-1,1,4,60.00000000000392
109,9,stagnation_lim,-329.9999999999985,[-4.45752398e-08 -4.07168266e-09  4.21940454e-08 -6.00271785e-08],-1,1,4,60.00000000000148
110,10,stagnation_lim,-329.9999999999992,[-5.00252343e-08 -2.05858722e-08 -2.67282549e-08 -1.66545224e-08],-1,1,4,60.000000000000796
111,11,stagnation_lim,-329.9999999999992,[-2.62844595e-08  4.11024336e-08 -3.46409133e-08  2.01071864e-08],-1,1,4,60.000000000000796
112,12,stagnation_lim,-329.9999999999967,[ 1.46759748e-08 -1.14160719e-07 -5.75133839e-08  2.47230390e-09],-1,1,4,60.0000000000033
113,13,stagnation_lim,-329.999999999994,[-1.75432733e-08  7.96113895e-08  1.12659827e-07  1.05139979e-07],-1,1,4,60.000000000006025
114,14,stagnation_lim,-329.9999999998502,[ 1.14234676e-07 -7.72359223e-07  3.77748002e-07 -5.23893042e-08],-1,1,4,60.00000000014978
115,15,stagnation_lim,-329.99999999995435,[ 3.72064517e-08 -4.08510520e-07  7.12948286e-08  2.38114650e-07],-1,1,4,60.000000000045645
116,16,stagnation_lim,-329.9999999999966,[-5.47913354e-08 -1.03569517e-07 -3.71861818e-08  4.55548948e-08],-1,1,4,60.00000000000341
117,17,stagnation_lim,-329.9999999999976,[-4.98890866e-08 -2.59107280e-08  7.70682784e-08 -5.43819822e-08],-1,1,4,60.00000000000239
118,18,stagnation_lim,-329.99999999999676,[ 3.97340073e-08  1.10641141e-07 -1.53816823e-08  4.79282550e-08],-1,1,4,60.00000000000324
119,19,stagnation_lim,-329.9999999999912,[ 5.09123031e-08 -8.32276198e-08  1.85827323e-07 -2.10297715e-08],-1,1,4,60.00000000000881
120,20,stagnation_lim,-329.99999999999886,[ 1.66022294e-08 -6.43231982e-08  2.24337782e-08 -2.87001385e-08],-1,1,4,60.00000000000114
