,start_num,stop_reason,FX_best,X_best,Xmin,Xmax,dimensions,error_norm
0,0,stagnation_lim,-389.9999991361309,[1.00082667 1.00161153],0,2,2,8.638691042506252e-07
1,1,stagnation_lim,-389.9999999652214,[0.99981661 0.99962987],0,2,2,3.477862264844589e-08
2,2,stagnation_lim,-389.99999999059565,[1.00009669 1.00019413],0,2,2,9.40434574658866e-09
3,3,stagnation_lim,-389.9999990355681,[0.99907469 0.99811733],0,2,2,9.64431876582239e-07
4,4,stagnation_lim,-389.99999999999704,[0.99999828 0.99999655],0,2,2,2.9558577807620168e-12
5,5,stagnation_lim,-389.9999999999852,[0.99999718 0.9999941 ],0,2,2,1.4779288903810084e-11
6,6,stagnation_lim,-389.99999996285817,[0.99980809 0.99961445],0,2,2,3.714183094416512e-08
7,7,stagnation_lim,-389.9999996948468,[1.00053906 1.00106634],0,2,2,3.05153207591502e-07
8,8,stagnation_lim,-389.9999999999917,[1.00000278 1.00000564],0,2,2,8.29913915367797e-12
9,9,stagnation_lim,-389.9999999996039,[0.99998053 0.99996148],0,2,2,3.9608494262211025e-10
10,10,stagnation_lim,-389.99999998005046,[1.00014068 1.00028013],0,2,2,1.9949538909713738e-08
11,11,stagnation_lim,-389.99999823597955,[0.99867184 0.99734531],0,2,2,1.7640204532654025e-06
12,12,stagnation_lim,-389.9999999276581,[0.99973104 0.99946215],0,2,2,7.234189070004504e-08
13,13,stagnation_lim,-389.99999854788604,[0.99879499 0.99759064],0,2,2,1.4521139632961422e-06
14,14,stagnation_lim,-389.9999923443809,[1.00275271 1.00554097],0,2,2,7.655619072011177e-06
15,15,stagnation_lim,-389.999999037637,[0.99902878 0.99804468],0,2,2,9.62363003509381e-07
16,16,stagnation_lim,-389.9999999999997,[1.00000048 1.00000093],0,2,2,2.8421709430404007e-13
17,17,stagnation_lim,-389.9999908838352,[0.99698079 0.99396844],0,2,2,9.1161647901572e-06
18,18,stagnation_lim,-389.9999999998783,[0.99998928 0.9999783 ],0,2,2,1.2170175978098996e-10
19,19,stagnation_lim,-389.9999999613185,[0.99980476 0.99960718],0,2,2,3.868149178742897e-08
20,20,stagnation_lim,-389.9999990535138,[1.00097235 1.00194884],0,2,2,9.464861818742065e-07
21,21,stagnation_lim,-389.9999999925152,[1.00008651 1.00017293],0,2,2,7.484800335078035e-09
22,22,stagnation_lim,-390.0,[1.00000006 1.00000013],0,2,2,0.0
23,23,stagnation_lim,-389.99999997355144,[1.00016263 1.0003253 ],0,2,2,2.644856067490764e-08
24,24,stagnation_lim,-389.99999999986466,[0.99998877 0.99997783],0,2,2,1.3534418030758388e-10
25,25,stagnation_lim,-389.9999999999965,[1.00000188 1.00000375],0,2,2,3.524291969370097e-12
26,26,stagnation_lim,-389.99999999877303,[0.99996645 0.9999339 ],0,2,2,1.226965196110541e-09
27,27,stagnation_lim,-389.9999999942269,[1.00007156 1.00014058],0,2,2,5.773074462922523e-09
28,28,stagnation_lim,-389.9999999118261,[1.0002969 1.0005934],0,2,2,8.817391972115729e-08
29,29,stagnation_lim,-389.99999539660826,[1.0021435  1.00430097],0,2,2,4.603391744240071e-06
30,30,stagnation_lim,-389.99999999999693,[1.00000172 1.0000034 ],0,2,2,3.069544618483633e-12
31,31,stagnation_lim,-389.99999990292247,[0.99969213 0.99937956],0,2,2,9.707753179100109e-08
32,32,stagnation_lim,-389.9999999998465,[1.00001237 1.00002481],0,2,2,1.5347723092418164e-10
33,33,stagnation_lim,-389.9999999862648,[0.99993274 0.99987508],0,2,2,1.3735188986174762e-08
34,34,stagnation_lim,-389.9999999581319,[0.99990924 0.99980015],0,2,2,4.1868077005347004e-08
35,35,stagnation_lim,-389.9999988667258,[0.99997272 1.00005186],0,2,2,1.1332742246850103e-06
36,36,stagnation_lim,-389.9999923918078,[0.99726421 0.99450074],0,2,2,7.608192220232013e-06
37,37,stagnation_lim,-389.999999989649,[1.00010128 1.00020354],0,2,2,1.0351016044296557e-08
38,38,stagnation_lim,-389.9999999909352,[0.99990505 0.99980941],0,2,2,9.064820005733054e-09
39,39,stagnation_lim,-389.9999992994629,[1.00083589 1.00167675],0,2,2,7.005371003288019e-07
40,40,stagnation_lim,-389.9999988929656,[1.00105028 1.00210795],0,2,2,1.1070343930441595e-06
41,41,stagnation_lim,-389.99999999996936,[0.99999517 0.9999906 ],0,2,2,3.063860276597552e-11
42,42,stagnation_lim,-389.9999999672669,[0.99981911 0.99963791],0,2,2,3.273311222073971e-08
43,43,stagnation_lim,-389.99999798370766,[0.99858513 0.99718427],0,2,2,2.0162923419775325e-06
44,44,stagnation_lim,-389.9999998623077,[0.99963892 0.99926943],0,2,2,1.37692325097305e-07
45,45,stagnation_lim,-389.9999999070808,[0.99969517 0.99939051],0,2,2,9.291920832765754e-08
46,46,stagnation_lim,-389.9999999410143,[0.99975721 0.99951386],0,2,2,5.8985676787415287e-08
47,47,stagnation_lim,-389.9999991532476,[0.99908471 0.99816077],0,2,2,8.467524139632587e-07
48,48,stagnation_lim,-389.99999961021075,[0.9993762  0.99875021],0,2,2,3.8978924976618146e-07
49,49,stagnation_lim,-389.9999999955591,[0.99993456 0.99986787],0,2,2,4.440892098500626e-09
50,50,stagnation_lim,-389.99999988763926,[0.99988589 0.99974027],0,2,2,1.1236073760301224e-07
51,51,stagnation_lim,-389.9999999928278,[1.00008455 1.00016959],0,2,2,7.172218374762451e-09
52,52,stagnation_lim,-389.9999990700262,[1.0009623  1.00191926],0,2,2,9.299737939727493e-07
53,53,stagnation_lim,-389.9999976746994,[0.99848025 0.9969503 ],0,2,2,2.3253006133927556e-06
54,54,stagnation_lim,-389.99999995819644,[1.00018887 1.00036994],0,2,2,4.180355972493999e-08
55,55,stagnation_lim,-389.99999999176555,[1.00008539 1.00016771],0,2,2,8.23445134301437e-09
56,56,stagnation_lim,-389.99999996896,[0.99982417 0.99964948],0,2,2,3.1039974146551685e-08
57,57,stagnation_lim,-389.99999967287744,[1.00053046 1.00108258],0,2,2,3.271225637035968e-07
58,58,stagnation_lim,-389.9999999997198,[0.99998347 0.99996667],0,2,2,2.801812115649227e-10
59,59,stagnation_lim,-389.9999999016754,[0.99989265 0.99981478],0,2,2,9.832461955738836e-08
60,60,stagnation_lim,-389.9999999976825,[0.99995186 0.99990372],0,2,2,2.3175061869551428e-09
61,61,stagnation_lim,-389.9999998732289,[0.99964466 0.9992872 ],0,2,2,1.2677111271841568e-07
62,62,stagnation_lim,-389.99999941853645,[1.00075515 1.00152146],0,2,2,5.814635528622603e-07
63,63,stagnation_lim,-389.99999998562936,[1.00011337 1.00023065],0,2,2,1.4370641565619735e-08
64,64,stagnation_lim,-389.99999964090796,[1.00058024 1.00114585],0,2,2,3.5909204143536044e-07
65,65,stagnation_lim,-389.9999999371181,[1.00025055 1.0005022 ],0,2,2,6.288189524639165e-08
