,start_num,stop_reason,FX_best,X_best,Xmin,Xmax,dimensions,error_norm
52,52,stagnation_lim,-389.9999996141518,[0.99938072 0.99876666],-6,6,2,3.858481818497239e-07
53,53,stagnation_lim,-389.9999992505323,[0.99913533 0.99826715],-6,6,2,7.4946768791051e-07
54,54,stagnation_lim,-389.99999997806685,[1.00014792 1.00029659],-6,6,2,2.1933146854280494e-08
55,55,stagnation_lim,-389.99999994954476,[1.00020809 1.00042468],-6,6,2,5.045524176239269e-08
56,56,stagnation_lim,-389.99999704353377,[0.99828058 0.99656344],-6,6,2,2.956466232717503e-06
57,57,stagnation_lim,-389.99997793853106,[0.99530346 0.99062267],-6,6,2,2.2061468939682527e-05
58,58,stagnation_lim,-389.9999999989946,[1.00003171 1.00006344],-6,6,2,1.0053895493911114e-09
59,59,stagnation_lim,-389.99999999969526,[0.99998739 0.99997598],-6,6,2,3.0473756851279177e-10
60,60,stagnation_lim,-389.99999999966275,[1.00001831 1.00003676],-6,6,2,3.3725200410117395e-10
61,61,stagnation_lim,-389.99999999999545,[0.99999965 0.99999951],-6,6,2,4.547473508864641e-12
62,62,stagnation_lim,-389.9999986306036,[1.00116979 1.00234409],-6,6,2,1.369396386508015e-06
63,63,stagnation_lim,-389.9999997339409,[0.99948757 0.99896951],-6,6,2,2.660590894265624e-07
64,64,stagnation_lim,-389.9999943454427,[1.00237457 1.00474212],-6,6,2,5.654557298839791e-06
65,65,stagnation_lim,-389.9999998779969,[1.00034924 1.0006992 ],-6,6,2,1.220030867443711e-07
66,66,stagnation_lim,-389.999994104877,[0.99758568 0.99515146],-6,6,2,5.8951230244019825e-06
67,67,stagnation_lim,-389.9999999977813,[1.00004268 1.00008735],-6,6,2,2.2187123249750584e-09
68,68,stagnation_lim,-389.9999999986456,[0.9999632  0.99992639],-6,6,2,1.3544081411964726e-09
69,69,stagnation_lim,-389.9999999998339,[0.99998712 0.99997428],-6,6,2,1.6609646991128102e-10
70,70,stagnation_lim,-389.9999999729538,[0.99983873 0.99968072],-6,6,2,2.7046212380810175e-08
71,71,stagnation_lim,-389.99998808686894,[1.00345097 1.00692014],-6,6,2,1.1913131061191962e-05
72,72,stagnation_lim,-389.9999987920829,[0.99890307 0.99780052],-6,6,2,1.207917080137122e-06
73,73,stagnation_lim,-389.9999986201925,[0.99884582 0.99767114],-6,6,2,1.3798074860460474e-06
74,74,max_iterations,-390.0,[0.9999999  0.99999979],-6,6,2,0.0
75,75,stagnation_lim,-389.99999947351364,[0.99927718 0.99854854],-6,6,2,5.264863602860714e-07
76,76,stagnation_lim,-389.99999999999756,[1.00000153 1.0000031 ],-6,6,2,2.4442670110147446e-12
77,77,stagnation_lim,-389.9999967744502,[0.99820939 0.99640811],-6,6,2,3.2255497899313923e-06
78,78,stagnation_lim,-389.99999660359606,[0.99815716 0.99631958],-6,6,2,3.3964039403144852e-06
