,start_num,stop_reason,FX_best,X_best,dimensions,error_norm
75,75,max_iterations,-330.0,[-2.89098488e-09 -6.44123205e-09],2,0.0
76,76,max_iterations,-330.0,[-2.82281736e-10 -2.23957237e-09],2,0.0
77,77,max_iterations,-316.668980343706,[ 1.13889817 -0.7845555 ],2,13.331019656294018
78,78,stagnation_lim,-330.0,[1.45670735e-09 9.88815979e-09],2,0.0
79,79,max_iterations,-330.0,[-1.03182661e-08  2.59313846e-09],2,0.0
80,80,stagnation_lim,-330.0,[-6.10695857e-09 -6.03214539e-09],2,0.0
81,81,max_iterations,-330.0,[-3.49626976e-09  1.17103230e-08],2,0.0
82,82,max_iterations,-330.0,[-4.78720211e-09 -1.14750051e-08],2,0.0
83,83,stagnation_lim,-330.0,[-4.36347057e-09 -5.40230296e-09],2,0.0
84,84,max_iterations,-330.0,[-6.33818144e-09  5.45947181e-09],2,0.0
85,85,stagnation_lim,-330.0,[1.68494747e-09 1.29635126e-09],2,0.0
86,86,max_iterations,-330.0,[-3.35669437e-09  4.35011575e-09],2,0.0
87,87,stagnation_lim,-330.0,[-4.98014739e-10 -1.11900400e-08],2,0.0
88,88,max_iterations,-330.0,[-7.49918743e-09  6.36984354e-09],2,0.0
89,89,max_iterations,-330.0,[ 1.19563685e-09 -9.18769589e-09],2,0.0
90,90,max_iterations,-330.0,[ 4.92213439e-10 -4.05597240e-09],2,0.0
91,91,max_iterations,-330.0,[-1.12840717e-09 -1.55052199e-12],2,0.0
92,92,max_iterations,-330.0,[-5.36798624e-09  2.35850371e-09],2,0.0
93,93,max_iterations,-330.0,[-5.69157458e-10 -5.69070537e-09],2,0.0
94,94,max_iterations,-330.0,[-7.94089866e-10 -6.48753219e-09],2,0.0
95,95,max_iterations,-321.35026451538977,[ 0.20038289 -0.09325791],2,8.649735484610233
96,96,max_iterations,-303.03092941437063,[-0.73887503 -1.70451204],2,26.969070585629368
97,97,max_iterations,-326.4954314677498,[1.00978704 0.90748426],2,3.5045685322501754
98,98,max_iterations,-330.0,[-8.30592855e-09 -7.67319323e-09],2,0.0
99,99,max_iterations,-330.0,[ 1.59732094e-09 -8.75022207e-09],2,0.0
100,0,stagnation_lim,-329.99999999999676,[ 9.46592681e-09 -8.25904213e-09  3.44418110e-08  1.22068310e-07],4,3.240074875066057e-12
101,1,stagnation_lim,-329.99999999999653,[ 8.72489365e-08 -2.68217597e-08  2.96321594e-08 -9.10715744e-08],4,3.467448550509289e-12
102,2,max_iterations,-330.0,[ 5.40817976e-09  3.25185365e-09 -4.68393788e-09  3.89688755e-09],4,0.0
103,3,stagnation_lim,-329.9999999999967,[-3.73383985e-08  4.04056779e-08 -1.13251738e-07 -2.61393570e-08],4,3.296918293926865e-12
104,4,stagnation_lim,-329.99999999999903,[ 4.14287148e-08  1.63598692e-08 -2.39590396e-08  4.90683671e-08],4,9.663381206337363e-13
105,5,stagnation_lim,-329.99999999999955,[ 1.84281797e-08 -1.83343898e-08 -3.49610849e-08  2.12204959e-08],4,4.547473508864641e-13
106,6,stagnation_lim,-329.99999999999903,[-7.67153989e-09  1.58960251e-08 -6.15584851e-08  2.66092800e-08],4,9.663381206337363e-13
107,7,stagnation_lim,-329.9999999999993,[ 5.19927482e-08  1.48349939e-08 -1.67726356e-08  1.03962593e-08],4,6.821210263296962e-13
108,8,stagnation_lim,-329.9999999999744,[-3.57079693e-07 -1.45978443e-10  1.07641685e-08  3.56378094e-08],4,2.5579538487363607e-11
109,9,stagnation_lim,-329.99999999999875,[-8.55532545e-09 -1.31694725e-08  5.19793783e-08 -5.83721889e-08],4,1.2505552149377763e-12
110,10,stagnation_lim,-329.9999999999819,[ 2.56759926e-07 -1.08169153e-07 -6.28391473e-09  1.15989421e-07],4,1.807620719773695e-11
111,11,stagnation_lim,-329.99999999999983,[-4.38079519e-11  5.56239034e-09 -2.70833607e-08 -1.12928636e-08],4,1.7053025658242404e-13
112,12,stagnation_lim,-329.99999999996044,[-2.45885857e-07 -2.22562395e-07 -2.33970473e-08  2.98133295e-07],4,3.956301952712238e-11
113,13,stagnation_lim,-329.99999999999926,[1.32795623e-08 9.20576217e-09 4.80358524e-08 3.29769999e-08],4,7.389644451905042e-13
114,14,stagnation_lim,-329.9999999999987,[-6.31037917e-08  2.18651809e-08 -4.46797494e-08  9.24011714e-09],4,1.3073986337985843e-12
115,15,stagnation_lim,-329.99999999999903,[-5.51208425e-08 -1.51969509e-08 -9.86724032e-09 -3.69582454e-08],4,9.663381206337363e-13
116,16,stagnation_lim,-329.9999999999999,[ 1.53464198e-08 -9.41469721e-09 -1.94550395e-08 -1.68171767e-09],4,1.1368683772161603e-13
117,17,stagnation_lim,-329.99999999999903,[1.66616798e-08 2.85550227e-08 1.29554671e-08 5.96378304e-08],4,9.663381206337363e-13
