,start_num,stop_reason,FX_best,X_best,Xmin,Xmax,dimensions,error_norm
57,57,stagnation_lim,-389.9999999838977,[1.00012645 1.00025398],0.8,1.2,2,1.610231947779539e-08
58,58,stagnation_lim,-389.9999998009451,[0.99955384 0.99910792],0.8,1.2,2,1.9905490944438498e-07
59,59,stagnation_lim,-389.99999996408775,[0.99983758 0.99966543],0.8,1.2,2,3.5912250950786984e-08
60,60,stagnation_lim,-389.999999999977,[0.99999771 0.99999585],0.8,1.2,2,2.3021584638627246e-11
61,61,stagnation_lim,-389.9999968684764,[0.9982316  0.99647287],0.8,1.2,2,3.1315236128648394e-06
62,62,stagnation_lim,-389.9999999849438,[1.00007602 1.00014242],0.8,1.2,2,1.505617319708108e-08
63,63,stagnation_lim,-389.99999960581715,[0.99937796 0.99874779],0.8,1.2,2,3.941828481401899e-07
64,64,stagnation_lim,-389.9999999993346,[0.99997446 0.99994856],0.8,1.2,2,6.654090611846186e-10
65,65,stagnation_lim,-389.9999994111785,[0.99923289 0.99846447],0.8,1.2,2,5.88821478686441e-07
66,66,stagnation_lim,-389.9999999997698,[1.00001059 1.00002227],0.8,1.2,2,2.3021584638627246e-10
67,67,stagnation_lim,-389.9999999419897,[0.99976835 0.99954335],0.8,1.2,2,5.801030056318268e-08
68,68,stagnation_lim,-389.9999999977725,[0.99995352 0.99990785],0.8,1.2,2,2.2275230548984837e-09
69,69,stagnation_lim,-389.9999999923557,[0.99992013 0.99984383],0.8,1.2,2,7.644302968401462e-09
70,70,stagnation_lim,-389.9999999726468,[0.99983462 0.99966908],0.8,1.2,2,2.73532236860774e-08
71,71,stagnation_lim,-389.9999998571024,[1.00037509 1.00074562],0.8,1.2,2,1.428975906492269e-07
72,72,stagnation_lim,-389.99999990934367,[0.99970616 0.99941898],0.8,1.2,2,9.065632866622764e-08
73,73,stagnation_lim,-389.9999991840244,[1.00090294 1.0018093 ],0.8,1.2,2,8.159756248460326e-07
74,74,stagnation_lim,-389.9999998320114,[1.0004055  1.00080521],0.8,1.2,2,1.6798861679490074e-07
75,75,stagnation_lim,-389.9999999999949,[0.99999862 0.99999707],0.8,1.2,2,5.115907697472721e-12
76,76,stagnation_lim,-389.9999998954359,[1.00032198 1.00064705],0.8,1.2,2,1.0456409427206381e-07
77,77,stagnation_lim,-389.9999999627319,[0.9998139  0.99963297],0.8,1.2,2,3.7268080177454976e-08
78,78,stagnation_lim,-389.999999166392,[0.99908715 0.99817338],0.8,1.2,2,8.336079986293043e-07
79,79,stagnation_lim,-389.99999997266883,[1.00016427 1.00033043],0.8,1.2,2,2.7331168439559406e-08
80,80,stagnation_lim,-389.9999999989376,[0.99997055 0.9999397 ],0.8,1.2,2,1.0624034985085018e-09
81,81,stagnation_lim,-389.999999999922,[1.00000467 1.00001009],0.8,1.2,2,7.79891706770286e-11
82,82,stagnation_lim,-389.9999999991105,[0.99997049 0.99994142],0.8,1.2,2,8.894858183339238e-10
83,83,stagnation_lim,-389.9999995433571,[0.99932469 0.99864739],0.8,1.2,2,4.566429083752155e-07
84,84,stagnation_lim,-389.9999999936461,[0.99993902 0.9998729 ],0.8,1.2,2,6.353900516842259e-09
85,85,stagnation_lim,-389.9999999996683,[0.99998881 0.99997906],0.8,1.2,2,3.3168134905281477e-10
86,86,stagnation_lim,-389.9999996083867,[1.00055915 1.00114672],0.8,1.2,2,3.916132982340059e-07
87,87,stagnation_lim,-389.99999999991684,[0.99999111 0.99998201],0.8,1.2,2,8.316192179336213e-11
88,88,stagnation_lim,-389.9999999734117,[1.0001513  1.00030871],0.8,1.2,2,2.6588281798467506e-08
89,89,stagnation_lim,-389.99999994148675,[0.99975929 0.99952104],0.8,1.2,2,5.851325113326311e-08
90,90,stagnation_lim,-389.99999984647076,[0.99961572 0.99922393],0.8,1.2,2,1.5352924265243928e-07
